,old_formation,EE,change_to
6486,Martinsburg,present,Martinsburg
10236,Martuljek Limestone,present,Martuljek Limestone
8282,Maruyamskaya,present,Maruyamskaya
9620,Maryborough,present,Maryborough
3495,Mashike,absent,Mashike
3496,Masingini,absent,Masingini
3497,Mason Porcus,absent,Mason Porcus
7915,Mason River,present,Mason River
7976,Massenkalk,present,Massenkalk
3498,Masseys Creek,absent,Masseys Creek
3499,Massillan,absent,Massillan
3500,Masuta,absent,Masuta
8145,Mata Amarilla,present,Mata Amarilla
3501,Matam,absent,Matam
7806,Matanuska,present,Matanuska
3502,Matanzas,absent,Matanzas
3503,Matawan,absent,Matawan
3504,Matemateaonga Sandstone,absent,Matemateaonga Sandstone
3505,Materana di Sacco,absent,Materana di Sacco
3506,Matfield Shale,absent,Matfield Shale
9731,Matilija,present,Matilija
9822,Matilija Sandstone,present,Matilija Sandstone
8286,Matitukskaya,present,Matitukskaya
3507,Matmor,absent,Matmor
3508,Matoppa,absent,Matoppa
3509,Matt,absent,Matt
9172,Matulla,present,Matulla
3510,Matuo,absent,Matuo
8922,Matura,present,Matura
3511,Maubisse,absent,Maubisse Limestone
3512,Maubisse Limestone,absent,Maubisse Limestone
7852,Maude,present,Maude
9485,Maurenne,present,Maurenne
3513,Maut,absent,Maut
3514,Mayang,absent,Mayang
3515,Mayatas,absent,Mayatas
3516,Maydown Limestone,absent,Maydown Limestone
3517,Maykop,absent,Maykop
3518,Maymyo,absent,Maymyo
3519,Maynes Creek,absent,Maynes Creek
3520,Mayville,absent,Mayville
9360,Mazantic Shale,present,Mazantic Shale
3521,Mazurowe Doły,absent,Mazurowe Doły
3522,Mazury,absent,Mazury
8849,McBean,present,McBean
3523,McCann Hill,absent,McCann Hill
3524,McCann Hill Chert,absent,McCann Hill
3525,McCarthy,absent,McCarthy
3526,McCloud,absent,McCloud
3527,McColley Canyon,absent,McColley Canyon
3528,McCraney Limestone,absent,McCraney Limestone
3529,McCully,absent,McCully
3530,McGowan Creek,absent,McGowan Creek
6710,McGregor,present,McGregor
3531,McGregor Creek,absent,McGregor Creek
3532,Mcharref,absent,Mcharref
6747,McMillan,present,McMillan
3533,McMonnigal Limestone,absent,McMonnigal Limestone
8733,McMurray,present,McMurray
3534,Mdaouer,absent,Mdaouer
3535,Meade Peak,absent,Meade Peak
6640,Meadowtown Beds,present,Meadowtown Beds
6896,Meads Creek equivalent,present,Meads Creek equivalent
3536,Meaford,absent,Meaford
3537,Meagher,absent,Meagher
3538,Meath,absent,Meath
3539,Mechra Ben Abbou,absent,Mechra Ben Abbou
3540,Mednikovo,absent,Mednikovo
6461,Medvezhin,present,Medvezhin
3541,Medvezhyn,present,Medvezhin
3542,Meenymore,absent,Meenymore
7692,Meeressande,present,Meeressande
3543,Meerssen Chalk,absent,Meerssen Chalk
3544,Megaerella,absent,Megaerella
3545,Megami,absent,Megami
7828,Meganos,present,Meganos
3546,Megarella,absent,Megarella
8609,Megen,present,Megen
8079,Megion,present,Megion
3547,Megrane Shale,absent,Megrane Shale
3548,Meideikiai,absent,Meideikiai
3549,Meinkenbracht,absent,Meinkenbracht
3550,Meißen,absent,Meißen
3551,Meissner,absent,Meissner
10239,Meißner,present,Meißner
3552,Meitan,absent,Meitan
8483,Mekran,present,Mekran
3553,Melbourne,absent,Melbourne
7741,Meledis,present,Meledis
3554,Melissano Limestone,absent,Melissano Limestone
8502,Melk,present,Melk
3555,Melker Sand,absent,Melker Sand
3556,Melo,absent,Melo
3557,Melones,absent,Melones
9087,Melovatka,present,Melovatka
3558,Melovatskaya,absent,Melovatskaya
3559,Melville Island,absent,Melville Island
3560,Memana,absent,Memana
8962,Ménaka,present,Ménaka
3561,Menbu,absent,Menbu
3562,Mendez,absent,Mendez Shale
3563,Mendez Shale,absent,Mendez Shale
3564,Menevia,absent,Menevia
3565,Mengkarang,absent,Mengkarang
3566,Menier,absent,Menier
3567,Meniér,absent,Meniér
,,,
,,,
,,,
3571,Menkechen,absent,Menkechen
3572,Menuha,absent,Menuha
9053,Mera,present,Mera
9586,Meragalleh Limestone,present,Meragalleh Limestone
8927,Merced,present,Merced
6990,Merchantville,present,Merchantville
6687,Merevale Shales,present,Merevale Shales
8427,Merfeg,present,Merfeg
3573,Mergalleh Limestone,absent,Mergalleh Limestone
10233,Meride,present,Meride
3574,Meride Limestone,absent,Meride Limestone
3575,Merizo,absent,Merizo
3576,Merlewood,absent,Merlewood
3577,Merlinge Schichten,absent,Merlinge Schichten
9747,Merlinleigh Sandstone,present,Merlinleigh Sandstone
6457,Mernmerna,present,Mernmerna
3578,Meroui,absent,Meroui
3579,Merriangaah Siltstone,absent,Merriangaah Siltstone
3580,Merrimack,absent,Merrimack
9502,Merzâ- Akhsaï,present,Merzâ- Akhsaï
3581,Mesaverde,absent,Mesaverde
9533,Meschera,present,Meschera
8261,Meshikuni,present,Meshikuni
7278,Mesilla Valley Shale,present,Mesilla Valley Shale
3582,Meson,absent,Meson
3583,Mészhegy Sandstone,absent,Mészhegy Sandstone
3584,Meulam,absent,Meulam
7018,Mexcala,present,Mexcala
3585,Mexican Spring,absent,Mexican Spring
3586,Meychen,absent,Meychen
3587,Meydan,absent,Meydan
3588,Mezmayskaya,absent,Mezmayskaya
8662,Mia Le,present,Mia Le
6776,Miadiai,present,Miadiai
6656,Miamitown,present,Miamitown
3589,Miamou,absent,Miamou
7506,Mianwali,present,Mianwali
3590,Miaogao,absent,Miaogao
4,Miaogou,absent,Miaogou
3591,Miaoli,absent,Miaoli
3592,Miaoling,absent,Miaoling
6757,Miaopo,present,Miaopo
3593,Michelle,absent,Michelle
7541,Michoud,present,Michoud
6790,Micklewood Beds,present,Micklewood Beds
3594,Mickwitzia Sandstone,absent,Mickwitzia Sandstone
3595,Midawara,absent,Midawara
,,,
9772,middle Abu Roash,present,middle Abu Roash
8356,Middle Bhuban,present,Middle Bhuban
,,,
,,,
3598,Middle Canyon,absent,Middle Canyon
,,,
3599,Middle Chanaz Beds,absent,Middle Chanaz Beds
,,,
3601,Middle Dhruma,absent,Middle Dhruma
3602,Middle Elton,absent,Middle Elton
8559,Middle Fars,present,Middle Fars
3603,"Middle Frasnian, F2i",absent,"Middle Frasnian, F2i"
8038,Middle Haborogawa,present,Middle Haborogawa
3604,Middle Headon Beds,absent,Middle Headon Beds
7044,Middle Inferior Oolite,present,Middle Inferior Oolite
3605,middle Kaub,absent,middle Kaub
3606,Middle Korallenoolith,absent,Middle Korallenoolith
9972,Middle Lias,present,Middle Lias
8402,Middle Limestone V,present,Middle Limestone V
8403,Middle Limestone V Cyclothem,present,Middle Limestone V Cyclothem
8404,Middle Limestone Va,present,Middle Limestone Va
8405,Middle Limestone Va Cyclothem,present,Middle Limestone Va Cyclothem
3607,Middle Longcraig Limestone,absent,Middle Longcraig Limestone
9464,Middle Loogh,present,Middle Loogh
3608,Middle Muschelkalk,absent,Middle Muschelkalk
8024,Middle Napo,present,Middle Napo
3609,Middle part,absent,Middle part
3610,Middle Sakamena,absent,Middle Sakamena
7525,Middle Shaly Facies,present,Middle Shaly Facies
3611,Middle Siesartis,absent,Middle Siesartis
3612,Middle Siyak Beds,absent,Middle Siyak Beds
3613,Middlesex,absent,Middlesex
7590,Midway,present,Midway
6582,Mifflin,present,Mifflin
3614,Miharano,absent,Miharano
3615,Miharanoro,absent,Miharanoro
9453,Mikasa,present,Mikasa Sandstone
7406,Mikasa Sandstone,present,Mikasa Sandstone
3616,Mikata,absent,Mikata
3617,Mikhailov,absent,Mikhailov
3618,Mikin,absent,Mikin
3619,Mikindani,absent,Mikindani
3620,Mikkwa,absent,Mikkwa
3621,Mikonys,absent,Mikonys
3622,Mila,absent,Mila
3623,Milanovo,absent,Milanovo
8719,Milburn Limestone,present,Milburn Limestone
6525,Milina,present,Milina
3624,Mill,absent,Mill
3625,Milldale,absent,Milldale
3626,Milldale Limestone,absent,Milldale Limestone
10247,Millerton,present,Millerton
3627,Millin Mudstone,absent,Millin Mudstone
6894,Millport equivalent,present,Millport equivalent
3628,Millsap Lake,absent,Millsap Lake
,,,
,,,
3631,Milna,absent,Milna
3632,Milsap,absent,Milsap
3633,Milwaukee,absent,Milwaukee
3634,Mina Chica,absent,Mina Chica
3635,Minamishirado,absent,Minamishirado
6462,Minaret,present,Minaret
7421,"Minato, Azenotani & Shichi Shale, Kitaama Sandstone, Yoroizaki Sandstone",present,"Minato, Azenotani & Shichi Shale, Kitaama Sandstone, Yoroizaki Sandstone"
7404,"Minato, Azenotani, Kitaama & Shichi Shale, Shimonada Siltsone, Yoroizaki Sandstone",present,"Minato, Azenotani, Kitaama & Shichi Shale, Shimonada Siltsone, Yoroizaki Sandstone"
3636,Mineola,absent,Mineola
3637,Mineola Ls,absent,Mineola
9547,Mineral Wells,present,Mineral Wells
3638,Mingan,absent,Mingan
3639,Mingenew,absent,Mingenew
3640,Minghsingssu,absent,Minghsingssu
7072,Mingus,present,Mingus
3641,Mingxinsi,absent,Mingxinsi
7528,Minia,present,Minia
3642,Minija,absent,Minija
3643,Minija - Jura,absent,Minija - Jura
3644,Minja,absent,Minja
3645,Minlaton,absent,Minlaton
3646,Minnekahta,absent,Minnekahta
3647,Minnelusa,absent,Minnelusa
3648,Minnie Point,absent,Minnie Point
3649,Minsterley,absent,Minsterley
6984,Mint Spring,present,Mint Spring
9943,Mint Spring Marl,present,Mint Spring
9942,Mint Springs,present,Mint Spring
3650,Minturn,absent,Minturn
3651,Miono,absent,Miono
7871,Mirador,present,Mirador
10306,Miraflores,present,Miraflores
9605,Miramar,present,Miramar
3652,Mirambel,absent,Mirambel
3653,Mirari,absent,Mirari
3654,Miravetes,absent,Miravetes
3655,Mireles,absent,Mireles
3656,Miretrain Marl,absent,Miretrain Marl
9660,Miri,present,Miri
3657,Miria,absent,Miria
3658,Miria Calcarenite,absent,Miria Calcarenite
9020,Miritini Shale,present,Miritini Shale
3659,Mirkin,absent,Mirkin
10176,Misailap,present,Misailap
8233,Misakubo,present,Misakubo
3660,Miseryfjellet,absent,Miseryfjellet
3661,Misfah,absent,Misfah
9048,Mishan,present,Mishan
8598,Mishash,present,Mishash
3662,Mishkinskaya,absent,Mishkinskaya
3663,Misho,absent,Misho
9946,Misoa,present,Misoa
9877,Mission Valley,present,Mission Valley
3664,Mistaya,absent,Mistaya
3665,Mistletoe,absent,Mistletoe
3666,Mitai,absent,Mitai
7443,Mitarai,present,Mitarai
7112,Mitkov Beds,present,Mitkov Beds
7137,Mitkov Suite,present,Mitkov Suite
3667,Mito,absent,Mito
3668,Mituva,absent,Mituva
7484,Miyaji,present,Miyaji
3669,Miyako-jima,absent,Miyako-jima
7457,Miyanohara,present,Miyanohara
9749,Miyara,present,Miyara
3670,Mizdah,absent,Mizdah
3671,Mizukoshi,absent,Mizukoshi
3672,Mizuyagadani,absent,Mizuyagadani
3673,MJI-lower yellowish marl,absent,MJI-lower yellowish marl
3674,Mjøsa,absent,Mjøsa
3675,Mjøsa Limestone,absent,Mjøsa Limestone
3676,MJS-upper yellowish marl,absent,MJS-upper yellowish marl
3677,Mo Clay,absent,Mo Clay
3678,Moathill,absent,Moathill
3679,Mobarak,absent,Mobarak
3680,Mobo,absent,Mobo
3681,Mochikubetsu,absent,Mochikubetsu
3682,Mocuio,absent,Mocuio
3683,Modaoxi,absent,Modaoxi
9880,Modelo,present,Modelo
9994,Modhat,present,Modhat
3684,Modin,absent,Modin
3685,Moe,absent,Moe
3686,Moel Hiraddug Limestone,absent,Moel Hiraddug Limestone
7218,Moenkopi,present,Moenkopi
3687,Moghara,absent,Moghara
3688,Mogilno,absent,Mogilno
3689,Moguchan,absent,Moguchan
3690,Mogyorósdomb Limestone,absent,Mogyorósdomb Limestone
3691,Mohakatino,absent,Mohakatino
8568,Moin,present,Moin
10283,Moin (upper),present,Moin
9743,Mojado,present,Mojado
9513,Mojon de Hierro,present,Mojon de Hierro
7527,Mokattam,present,Mokattam
3692,Mol,absent,Mol
3693,Molare,absent,Molare
3694,Molasse of Saint Médard-en-Jalle,absent,Molasse of Saint Médard-en-Jalle
3695,Mole Creek,absent,Mole Creek
3696,Molignée,absent,Molignée
3697,Molino,absent,Molino
3698,Molly Gibson,absent,Molly Gibson
3699,Molskaya,absent,Molskaya
3700,Monach,absent,Monach
7096,Moncks Corner Greensand,present,Moncks Corner Greensand
3701,Moncorvo,absent,Moncorvo
7010,Moneague,present,Moneague
3702,Monforte,absent,Monforte
3703,Moniello,absent,Moniello
10193,Moniwa,present,Moniwa
6845,Monk’s Bay Sandstone,present,Monk’s Bay Sandstone
3704,Monkton Quartzite,absent,Monkton Quartzite
3705,Monobe,absent,Monobe
3706,Monola,absent,Monola
3707,Monom,absent,Monom
3708,Monos,absent,Monos
6793,Mons,present,Mons
3709,Møns Klint,absent,Møns Klint
9668,Mons-en-Pevele Sands,present,Mons-en-Pevele Sands
3710,Monsal Dale Limestone,absent,Monsal Dale Limestone
3711,Monsal Dale Limestones,absent,Monsal Dale Limestone
3712,Monshizu,absent,Monshizu
3713,Mont Aime,absent,Mont Aime
3714,Mont Grand,absent,Mont Grand
3715,Mont Peyroux,absent,Mont Peyroux
3716,Mont-Lambert,absent,Mont-Lambert
3717,Montandón,absent,Montandón
3718,Monte Adone,absent,Monte Adone
3719,Monte Cassio Flysch,absent,Monte Cassio Flysch
10299,Monte Cristo,present,Monte Cristo Limestone
3720,Monte Cristo Limestone,present,Monte Cristo Limestone
3721,Monte Fumaiolo,absent,Monte Fumaiolo
9718,Monte Giogo,present,Monte Giogo
3722,Monte Grande,absent,Monte Grande
7849,Monte Leon,present,Monte Leon
10101,Monte León,present,Monte Leon
8342,Monte Leon Fm,present,Monte Leon
3723,Monte Mario,absent,Monte Mario
3724,Monte S Angelo,absent,Monte S Angelo
10077,Monte Vaticano,present,Monte Vaticano
3725,Monteagle Limestone,absent,Monteagle Limestone
7043,Montejunto,present,Montejunto
7333,Montello conglomerate,present,Montello conglomerate
3726,Montera,absent,Montera
7340,Monterey,present,Monterey
3727,Montesano,absent,Montesano
8166,Montesquiu,present,Montesquiu
9368,Montezuma,present,Montezuma
3728,Montguyon,absent,Montguyon
8243,Monti Climiti,present,Monti Climiti
3729,Montney,absent,Montney
10295,Montpelier,present,Montpelier
3730,Montredon-des-Corbières,absent,Montredon-des-Corbières
6837,Moodys Branch,present,Moodys Branch
7115,Moonkinu,present,Moonkinu
10248,Moonstone Beach,present,Moonstone Beach
3731,Mooraback,absent,Mooraback
8357,Moorabool Viaduct Sandstone,present,Moorabool Viaduct Sandstone
8379,Moorefield,present,Moorefield
3732,Moorehouse,absent,Moorehouse
8534,Mooreville Chalk,present,Mooreville Chalk
3733,Moosebar Shale,absent,Moosebar Shale
3734,Moran,absent,Moran
3735,Morawan,absent,Morawan
8680,Moreno,present,Moreno
8804,Morgan Limestone,present,Morgan Limestone
3736,Morgiou,absent,Morgiou
3737,Moribu,absent,Moribu
9854,Morkvashi,present,Morkvashi
9421,Mormon,present,Mormon
3738,Morne Diablo Limestone,absent,Morne Diablo Limestone
3739,Morne du Cap,absent,Morne du Cap
7980,Morne l'Enfer,present,Morne l'Enfer
3740,Mörnsheim,absent,Mörnsheim
3741,Morono,absent,Morono
9761,Morridge,present,Morridge
3742,Morro,absent,Morro
9450,Morro Mejillones,present,Morro Mejillones
3743,Morrow,absent,Morrow
3744,Mörsheim,absent,Mörsheim
3745,Moruga,absent,Moruga
3746,Morven,absent,Morven
9055,Morzhov,present,Morzhov
3747,Morzhovaya,present,Morzhovaya Bay
7488,Morzhovaya Bay,present,Morzhovaya Bay
3748,Mosalem,absent,Mosalem
7060,Moscow,present,Moscow
3749,Moseley Creek,absent,Moseley Creek
3750,Moshi Sandstone,absent,Moshi Sandstone
7632,Mosley Hill,present,Mosley Hill
10286,Mospyne,present,Mospyne
6761,Mossen,present,Mossen
3751,Mostyn Vale,absent,Mostyn Vale
3752,Motarata Limestone,absent,Motarata Limestone
8262,Motochi,present,Motochi
7117,Motol,present,Motol
3753,Mougoui Ayoun,absent,Mougoui Ayoun
3754,Moulin Lienaux,absent,Moulin Lienaux
3755,Moulin Liénaux,absent,Moulin Lienaux
6498,Mount Auburn,present,Mount Auburn
3756,Mount Brown,absent,Mount Brown
6373,Mount Cap,present,Mount Cap
7878,Mount Goodenough,present,Mount Goodenough
3757,Mount Greene,absent,Mount Greene
3758,Mount Hawk,absent,Mount Hawk
8042,Mount Head,present,Mount Head
3759,Mount Hillaby,absent,Mount Hillaby
8584,Mount Hope,present,Mount Hope
7008,Mount Ida,present,Mount Ida
8535,Mount Laurel,present,Mount Laurel
6993,Mount Laurel Sand,present,Mount Laurel
3760,Mount Laurel/Navesink,present,Mount Laurel
3761,Mount Messenger,absent,Mount Messenger
9018,Mount Peace,present,Mount Peace
3762,Mount Podge,absent,Mount Podge
9881,Mount Soledad,present,Mount Soledad
3763,Mount Spann,absent,Mount Spann
3764,Mount Whyte,absent,Mount Whyte
9151,Mowitch,present,Mowitch
3765,Mowry Shale,absent,Mowry Shale
3766,Moydart,absent,Moydart
6638,Moyero River,present,Moyero River
3767,Moyuela,absent,Moyuela
3768,Mozduran,absent,Mozduran
3769,Mraznica,absent,Mraznica
9808,Mt. Brown,present,Mount Brown
3770,Mt. Facito,absent,Mount Facito
3771,Mt. Hawk,absent,Mount Hawk
9549,Mt. Lysa,present,Mount Lysa
3772,Mt. Whyte,absent,Mount Whyte
6359,Muav Limestone,present,Muav Limestone
3773,Much Wenlock,present,Wenlock
7126,Much Wenlock Limestone,present,Wenlock 
3774,Mud Springs,absent,Mud Springs
3775,Mud Springs Mountain,absent,Mud Springs
7734,Muddy Creek,present,Muddy Creek
3776,Mufushan,absent,Mufushan
3777,Muggleton,absent,Muggleton
3778,Mughal Kot,absent,Mughal Kot
7296,Mughanniyya,present,Mughanniyya
3779,Mugochan,absent,Mugochan
3780,Mühlenberg,absent,Mühlenberg
3781,Muhu,absent,Muhu
7924,Muhua,present,Muhua
7901,Mujarrun,present,Mujarrun
3782,Mujarún,present,Mujarrun
3783,Mujiucuo,absent,Mujiucuo
3784,Muksha,absent,Muksha
3785,Mukut,absent,Mukut
9359,Mulbring,present,Mulbring
7106,Mulde,present,Mulde Beds
3786,Mulde Beds,present,Mulde Beds
7033,Muldraugh,present,Muldraugh
3787,Mule Spring Limestone,absent,Mule Spring Limestone
9486,Mulege,present,Mulege
3788,Muleros,absent,Muleros
10107,Mulichinco,present,Mulichinco
3789,Mullaghfin,absent,Mullaghfin
3790,Mulloch Hill,absent,Mulloch Hill
3791,Mulloch Hill Sandstone,absent,Mulloch Hill Sandstone
6852,Munday’s Hill Phosphatic Sandstone,present,Munday’s Hill Phosphatic Sandstone
3792,Münder Marl,absent,Münder Marl
3793,Mundubbera,absent,Mundubbera
6422,Mungerebar,present,Mungerebar
6897,Mungo River,present,Mungo River
8863,Munguidó,present,Munguidó
9062,Munugudzhak,present,Munugudzhak
7641,Muong Trai,present,Muong Trai
6439,Mural,present,Mural Limestone
3794,Mural Limestone,present,Mural Limestone
3795,Mural Tah,absent,Mural Tah
3796,Murat,absent,Murat
3797,Murdock Mountain,absent,Murdock Mountain
8571,Murdock Station,present,Murdock Station
8980,Muree,present,Muree
3798,Murero,absent,Murero
6530,Murfreesboro Limestone,present,Ridley Limestone
10051,Murillo,present,Murillo
3799,Murrawong Creek,absent,Murrawong Creek
7472,Murray Creek,present,Murray Creek
3800,Murray Island,absent,Murray Island
7236,Murray Ridge,present,Murray Ridge
9909,Muschelkalk,present,Muschelkalk
3801,Muschelsandstein,absent,Muschelsandstein
3802,Mushirebuca,absent,Mushirebuca
3803,Mushizaki,absent,Mushizaki
3804,Mut,absent,Mut
8287,Mutnovskaya,present,Mutnovskaya
6936,Mutsuo,present,Mutsuo
3805,Muttama Creek Siltstone,absent,Muttama Creek Siltstone
3806,Muwaddar Chalk Marl,absent,Muwaddar Chalk Marl
3807,Muwaqqar,absent,Muwaqqar
3808,Muwaqqar Chalk-Marl,absent,Muwaqqar Chalk-Marl
3809,Mweelrea,absent,Mweelrea
3810,Myanqol,absent,Myanqol
3811,Mydrim Shales,absent,Mydrim Shales
3812,Mynaral,absent,Mynaral
3813,Myobong,absent,Myobong
3814,Myogatani,absent,Myogatani
3815,Myrtle,absent,Myrtle
7362,Myslejovice,present,Myslejovice
3816,Mysovy,absent,Mysovy
9779,Mysterious Creek,present,Mysterious Creek
3817,Mytilus Beds,absent,Mytilus Beds
3818,Mytton Flags,absent,Mytton Flags
3819,Mzamba,absent,Mzamba
8125,Mzinene,present,Mzinene
3820,N'Golome marl,absent,N'Golome marl
,,,
,,,
,,,
,,,
,,,
7638,Na Khuat,present,Na Khuat
3821,Na Quan,absent,Na Quan
3822,Na-arai,absent,Na-arai
3823,Naarai,absent,Naarai
3824,Nabekoshiyama,absent,Nabekoshiyama
3825,Nabeyama,absent,Nabeyama
3826,Nabiao,absent,Nabiao
3827,Nacatoch,absent,Nacatoch
7016,Nacatoch Sand,present,Nacatoch Sand
8823,Naco,present,Naco
3828,Nagahama,absent,Nagahama
6908,Nagaoling,present,Nagaoling
3829,Nagareya,absent,Nagareya
8720,Nagase,present,Nagase
5,Nago Limestone,absent,Nago Limestone
3830,Nago Limestone,absent,Nago Limestone
3831,Nagura,absent,Nagura
7509,Nagura Gravel,present,Nagura Gravel
9427,Nagyvisnyo,present,Nagyvisnyo
7562,Naha,present,Naha
3832,Nahanni,absent,Nahanni
8796,Naheola,present,Naheola
7165,Nahkaoling,present,Nahkaoling
3833,Nahr Umr,absent,Nahr Umr
3834,Naiba,absent,Naiba
3835,Naidaijin,absent,Naidaijin
3836,Naiman,absent,Naiman
3837,Naizawa,absent,Naizawa
3838,Najerilla,absent,Najerilla
3839,Nakadaira,absent,Nakadaira
3840,Nakakubo,absent,Nakakubo
7451,Nakaminato,present,Nakaminato
7480,Nakanosawa,present,Nakanosawa
3841,Nakaoling,absent,Nakaoling
8886,Nakasi,present,Nakasi
3842,Nakato Shale,absent,Nakato Shale
9401,Nakatsuka,present,Nakatsuka
3843,Nakawatari,absent,Nakawatari
3844,Nakayama,absent,Nakayama
3845,Nakazato,absent,Nakazato
6511,Nakholmen,present,Nakholmen
3846,Nakijin,absent,Nakijin
3847,Nakkholmen,absent,Nakkholmen
7564,Nakoshi,present,Nakoshi
8677,Nalbia,present,Nalbia
9917,Nam,present,Nam
3848,Nam Can,absent,Nam Can
3849,Nam Loong,absent,Nam Loong
10219,Nam Maholan,present,Nam Maholan
3850,Nam Mu,absent,Nam Mu
7648,Nam Nuen,present,Nam Nuen
7646,Nam Sam,present,Nam Sam
3851,Nam Tham,absent,Nam Tham
3852,Namba,absent,Namba
7613,Namoi,present,Namoi
3853,Namtham,absent,Namtham
3854,Namyau Beds,absent,Namyau Beds
8580,Nanafalia,present,Nanafalia
3855,Nanafalia or Pendleton Ferry,present,Nanafalia
8987,Nanafalia or Tuscahoma,prse,Nanafalia
6652,Nancheng,present,Nancheng
3856,Nancheng Beds,absent,Nancheng Beds
8011,Nancy Point,present,Nancy Point
10291,Nancy Point (Lower Part),present,Nancy Point (Lower Part)
7169,Nandan,present,Nandan
3857,Nandoumari,absent,Nandoumari
9735,Nanggulan,present,Nanggulan
3858,Nangung,absent,Nangung
3859,Nangurukuru,absent,Nangurukuru
6840,Nanjemoy,present,Nanjemoy
3860,Nanjiang,absent,Nanjiang
6544,Nanjinguan,present,Nanjinguan
3861,Nanlinghu,absent,Nanlinghu
9102,Nanlong,present,Nanlong
3862,Nanook,absent,Nanook
3863,Nansen,absent,Nansen
3864,Nanshicong,absent,Nanshicong
8995,Nanshuangyashan,present,Nanshuangyashan
6758,Nant Hir Mudstones,present,Nant Hir Mudstones
10208,Nantoco,present,Nantoco
3865,Nantsinkwan,absent,Nantsinkwan
3866,Nanza,absent,Nanza
6667,Nanzheng,present,Nanzheng
3867,Naocangjiangou,absent,Naocangjiangou
3868,Napa,absent,Napa
3869,Napanee Limestone,absent,Napanee Limestone
3870,Napier,absent,Napier
8025,Napo,present,Napo
3871,När,absent,När
9181,Narabara,present,Narabara
3872,Narayen,absent,Narayen
3873,Naredi,absent,Naredi
8484,Nari,present,Nari
9978,Narita,present,Narita
7346,Narrow Cape,present,Narrow Cape
3874,Narskaya,absent,Narskaya
3875,Narva,absent,Narva
3876,Narwhal Sound,absent,Narwhal Sound
3877,Narwhale Sound,absent,Narwhal Sound
7777,Naseby Greensand,present,Naseby Greensand
7268,Nashua,present,Nashua
3878,Nassau,absent,Nassau
9912,Natchez Pass,present,Natchez Pass
3879,Natih,absent,Natih
9759,Naturita,present,Naturita
3880,Naujoji Akmene,present,Naujoji Akmene
7701,Naujoji Akmené,present,Naujoji Akmene
7705,Naujoji Akmené Suite,present,Naujoji Akmene
3881,Naul,absent,Naul
9437,Naur,present,Naur
9806,Navarro,present,Navarro
3882,Navas De Estena,absent,Navas De Estena
6566,Navas de Estena,present,Navas de Estena
6611,Navatrasierra Shale,present,Navatrasierra Shale
7173,Navesink,present,Navesink
10104,Navidad,present,Navidad
7710,Navidad,present,Navidad
10103,Navidav,present,Navidad
9279,Nawodzice sands,present,Nawodzice sands
3883,Naya,absent,Naya
7358,Nayband,present,Nayband
3884,Nayixiong,absent,Nayixiong
3885,Naylor Ledge,absent,Naylor Ledge
9072,Nazareth,present,Nazareth
3886,Nazarkardeh,absent,Nazarkardeh
9385,Ndalithoni,present,Ndalithoni
8198,Ndalithoni Limestone,present,Ndalithoni
3887,Ndayane,absent,Ndayane
3888,Nea Nikopolis,absent,Nea Nikopolis
3889,Neahga Shale,absent,Neahga Shale
7605,Neal Ranch,present,Neal Ranch
3890,Neal Ranch?,absent,Neal Ranch
3891,Nebida,absent,Nebida
6891,Neerrepen Sands,present,Neerrepen Sands
7448,Negoya,present,Negoya
8765,Negritos,present,Negritos
3892,Nehden,absent,Nehden
9032,Nehenta,present,Nehenta
3893,Nehou,absent,Nehou
3894,Neichnerberg,absent,Neichnerberg
3895,Neil West Coast,absent,Neil West Coast
3896,Neils Creek,absent,Neils Creek
10044,Nekuchan,present,Nekuchan
10320,Nellenköpfchen,present,Nellenköpfchen
3897,Nellie Bly,absent,Nellie Bly
3898,Nelly Bly,absent,Nellie Bly
3899,Nelson Limestone,absent,Nelson Limestone
3900,Nelynya-shor,absent,Nelynya-shor
3901,Nelyudim,absent,Nelyudim
9278,Nemda,present,Nemda
3902,Nemo,absent,Nemo
9903,Nenjiang,present,Nenjiang
9898,Nenjiang/Sifangtai,present,Nenjiang/Sifangtai
3903,Nenyugin,absent,Nenyugin
8446,Neoschwagerina Beds,present,Neoschwagerina Beds
8078,Neptune Glacier,present,Neptune Glacier
9624,Nerinea limestone,present,Nerinea limestone
3904,Neris,absent,Neris
3905,Nerminskaya,absent,Nerminskaya
3906,Nerpalakh,absent,Nerpalakh
9633,Nesen,present,Nesen
9813,Nestucca,present,Nestucca
3907,Neuberg,absent,Neuberg
7095,Neuburg,present,Neuburg
3908,Neuburger Bank-Kalken,absent,Neuburger Bank-Kalken
9794,Neuburger Weiß,present,Neuburger Weiß
3909,Neuhofen,absent,Neuhofen
3910,Neuville,absent,Neuville
8896,Neva,present,Neva
8289,Nevel'skaya,present,Nevel'skaya
3911,Neverovo,absent,Neverovo
3912,Nevian,absent,Nevian
3913,Nevremont,absent,Nevremont
3914,Névremont,absent,Nevremont
3915,Nèvremont,absent,Nevremont
3916,Nevzis,absent,Nevzis
6999,New Albany Shale,present,New Albany Shale
6947,New Bern,present,New Bern
9270,New Egypt,present,New Egypt
3917,New Market,absent,New Market
7536,New Orleans Barrier Trend,present,New Orleans Barrier Trend
3918,New Pit,absent,New Pit
3919,New Scotland,absent,New Scotland
3920,Newala,absent,Newala
3921,Newberria,absent,Newberria
