,old_formation,EE,change_to
9796,Foxen Mudstone,present,Foxen Mudstone
1863,Fraenkelryggen,absent,Fraenkelryggen
1864,Fraileys,absent,Fraileys
1865,Fraileys Shale,absent,Fraileys
1866,Franc Waret,absent,Franc Waret
7591,Francis,present,Francis
1867,Franciscan,absent,Franciscan
6371,Franconia,present,Franconia
8412,Franklin Conglomerate,present,Franklin Conglomerate
1868,Franopol',absent,Franopol'
1869,Frasnian,absent,Frasnian
1870,Frasnian F2i,absent,Frasnian F2i
1871,Frasnian moyen,absent,Frasnian moyen
1872,Freberga,absent,Freberga
1873,Frederick Limestone,absent,Frederick Limestone
1874,Freeport,absent,Freeport
8355,Freestone Cove Sandstone,present,Freestone Cove Sandstone
1875,Freilingen,absent,Freilingen
1876,Freitag,absent,Freitag
6560,Fremont,present,Fremont
1877,French River,absent,French River
10238,Freudenstadt,present,Freudenstadt
9884,Friars,present,Friars
1878,Friars Point Limestone,absent,Friars Point Limestone
1879,Frobisher Bay,absent,Frobisher Bay
6515,Frognerkilen,present,Frognerkilen
6769,Frognerkilen - Nakholmen,present,Frognerkilen - Nakholmen
1880,Fröjel,absent,Fröjel
10145,Frome Clay,present,Frome Clay
9557,Fromelennes,present,Fromelennes
1881,Frontier,absent,Frontier
1882,Fruitland,absent,Fruitland
1883,Fuentes,absent,Fuentes
8156,Fuheis,present,Fuheis
9774,Fujina,present,Fujina
1884,Fukkoshi,absent,Fukkoshi
8312,Fukui,present,Fukui
1885,Fukuji,absent,Fukuji
1886,Fulanga,absent,Fulanga
1887,Fuller's Earth,absent,Fuller's Earth
1888,Fullers Earth,absent,Fuller's Earth
1889,Fulletby Beds,absent,Fulletby Beds
1890,Fulra,absent,Fulra
9472,Fulra Dam,present,Fulra Dam
1891,Fulton,absent,Fulton
9232,Funabuseyama,present,Funabuseyama
8173,Funagawara,present,Funagawara
1892,Funakawa,absent,Funakawa
7622,Funks,present,Funks
1893,Funston Limestone,absent,Funston Limestone
9293,Fur,present,Fur
8512,Furanui,present,Furanui
1894,Furen,absent,Furen
1895,Furkaska,absent,Furkaska
1896,Furnaceville,absent,Furnaceville
1897,Fürstenau,absent,Fürstenau
6509,Furuberget,present,Furuberget
1898,Furushiroyama,absent,Furushiroyama
9929,Furuya,present,Furuya
1899,Fushina,absent,Fushina
8544,Futagojima,present,Futagojima
9390,Futuna,present,Futuna
8199,Futuna Limestone,present,Futuna
1900,Fyanford,absent,Fyanford
7736,Fyansford,present,Fyansford
7325,Gabbs,present,Gabbs
1901,Gabdrashidov,absent,Gabdrashidov
1902,Gabian,absent,Gabian
8934,Gabir,present,Gabir
8017,Gadhada,present,Gadhada
1903,Gadikao,absent,Gadikao
1904,Gaer Fawr,absent,Gaer Fawr
1905,Gafsa Phosphates,absent,Gafsa Phosphates
1906,Gagnum Limestone,absent,Gagnum Limestone
1907,Gahard,absent,Gahard
8855,Gahodleh Shale,present,Gahodleh Shale
1908,Gaide,absent,Gaide
9274,Gaikema,present,Gaikema
1909,Gaiman,absent,Gaiman
1910,Gaita,absent,Gaita
8102,Gaj,present,Gaj
7748,Gakkhinskaya,present,Gakkhinskaya
9173,Galala,present,Galala
1911,Galesburg shale,absent,Galesburg Shale
1912,Galesburg Shale,absent,Galesburg Shale
1913,Galets,absent,Galets
1914,Galindai,absent,Galindai
1915,Gallatin,absent,Gallatin
1916,Gallensis Greensand,absent,Gallensis Greensand
1917,Gallensis Limestone,absent,Gallensis Limestone
1918,Galong,absent,Galong
1919,Gambier,present,Gambier Limestone
8803,Gambier Limestone,present,Gambier Limestone
1920,Gamka,absent,Gamka
1921,Gamoneda,absent,Gamoneda
8118,Gams,present,Gams
1922,Gancaohu,absent,Gancaohu
1923,Gangqiao,absent,Gangqiao
1924,Ganigobis,absent,Ganigobis
1925,Ganin,absent,Ganin
8140,Gankin,present,Gankin
9185,Gannosudani,present,Gannosudani
8225,Gansingen Dolomite,present,Gansingen Dolomite
1926,Ganskaya,absent,Ganskaya
9891,Ganxi,present,Ganxi
1927,Gaotai,absent,Gaotai
1928,Gapshima,absent,Gapshima
7606,Gaptank,present,Gaptank
1929,Gar El Muluk,absent,Gar El Muluk
1930,Gara Sbaa,absent,Gara Sbaa
1931,Garagu,absent,Garagu
1932,Garcia,absent,Garcia Sandstone
1933,Garcia Sandstone,absent,Garcia Sandstone
1934,Gardeau,absent,Gardeau
1935,Garden,absent,Garden
1936,Garden City,absent,Garden City
8134,Gardiners Clay,present,Gardiners Clay
9433,Gargasian,present,Gargasian
8554,Gargorre,present,Gargorre
1937,Garin,absent,Garin
7164,Garra,present,Garra Limestone
1938,Garra Limestone,present,Garra Limestone
1939,Garra?,present,Garra Limestone
8894,Garrison,present,Garrison
8117,Garschella,present,Garschella
1940,Garu,absent,Garu
6551,Gasconade,present,Gasconade Dolomite
1941,Gasconade Dolomite,present,Gasconade Dolomite
1942,Gascons,absent,Gascons
1943,Gashr Ghand,absent,Gashr Ghand
1944,Gasper,absent,Gasper
8281,Gastellovskaya,present,Gastellovskaya
1945,Gates,absent,Gates
1946,Gatesburg,absent,Gatesburg
7817,Gatun,present,Gatun
10292,Gatun (Lower Part: Units 3-5),present,Gatun (Lower Part: Units 3-5)
7573,Gatuncillo,present,Gatuncillo
1947,Gauja,absent,Gauja
8717,Gault,present,Gault
1948,Gault Clay,absent,Gault Clay
8364,Gavdos,present,Gavdos
1949,Gavilan,absent,Gavilan
1950,Gavilán,absent,Gavilan
1951,Gaviota,absent,Gaviota
1952,Gavuralani,absent,Gavuralani
8857,Gawan Limestone,present,Gawan Limestone
1953,Gay Head,absent,Gay Head
8397,Gayle Limestone Cyclothem,present,Gayle Limestone Cyclothem
8396,Gayle Limestone II,present,Gayle Limestone II
8395,Gayle Shale,present,Gayle Shale
1954,Gazelle,absent,Gazelle
1955,Gazov,absent,Gazov
1956,Gearle Siltstone,absent,Gearle Siltstone
9077,Gebbie,present,Gebbie
1957,Gebel Hof,absent,Gebel Hof
7542,Gebel Khashab Red Beds,present,Gebel Khashab Red Beds
1958,Gechang,absent,Gechang
1959,Gediping,absent,Gediping
1960,Gee Greensand,absent,Gee Greensand
7149,Gefell,present,Gefell
8429,Gehannam,present,Gehannam
1961,Gehlberg,absent,Gehlberg
1962,Gehrden,absent,Gehrden
1963,Geirud,absent,Geirud
1964,Geisental,absent,Geisental
1965,Geissbergschichten,absent,Geissbergschichten
8994,Gejiu,present,Gejiu
7560,Gelingseh,present,Gelingseh
6520,Gelli-Grin,present,Gelli-Grin
1966,Gelli-grîn,absent,Gelli-grîn
8338,Gellibrand,present,Gellibrand
8430,Gellibrand Marl,present,Gellibrand Marl
1967,Geluva,absent,Geluva
1968,Gene Autry Shale,absent,Gene Autry Shale
1969,Genesee,absent,Genesee
8712,Geneseo,present,Geneseo Shale
1970,Geneseo Shale,present,Geneseo Shale
1971,Genicera,absent,Genicera
8276,Gennoyshinskaya,present,Gennoyshinskaya
8668,Gentle Annie,present,Gentle Annie
1972,Genundewa,absent,Genundewa
1973,Georgetown,absent,Georgetown
6631,Georgian Bay,present,Georgian Bay
1974,Gerd-Kuh U15,absent,Gerd-Kuh U15
1975,Gerence,absent,Gerence
9428,Gerennavar,present,Gerennavar Limestone
8015,Gerennavar Limestone,present,Gerennavar Limestone
10123,Gerhardsreit,present,Gerhardsreit
1976,Gerhartsreit,present,Gerhardsreit
1977,Gerhartsreiter Schichten,absent,Gerhartsreiter Schichten
8730,Gerkinskaya,present,Gerkinskaya
8444,Germig,present,Germig
1978,Gerpigem- Mezmayskaya,absent,Gerpigem- Mezmayskaya
8705,Gerringong,present,Gerringong
